,df_clust_summary,this_clust_summary,this_clust_summary.1,this_clust_summary.2,this_clust_summary.3,this_clust_summary.4
SYSTOLIC_DECREASE,1:9  ,1:263  ,1:163  ,1:102  ,1:148  ,1:650  
DIASTOLIC_DECREASE,1: 8  ,1:290  ,1:174  ,1:96  ,1:165  ,1:674  
MAP_DECREASE,1:9  ,1:285  ,1:179  ,1:105  ,1:166  ,1:707  
SYSTOLIC_SIG_LOWER,1: 0  ,1:  6  ,1: 14  ,1: 10  ,1:  3  ,1:  14  
DIASTOLIC_SIG_LOWER,1: 0  ,1: 14  ,1: 17  ,1: 11  ,1:  4  ,1:  19  
MAP_SIG_LOWER,1: 0  ,1:  8  ,1: 20  ,1: 11  ,1:  3  ,1:  22  
SEX,1: 6  ,1: 12  ,1:154  ,1:95  ,1:173  ,1:695  
WHITE,1:15  ,1:361  ,1:228  ,1:147  ,1:273  ,1:1063  
BLACK,1: 3  ,1:101  ,1: 77  ,1: 31  ,1: 51  ,1: 139  
ASIAN,1: 0  ,1:  3  ,1:  0  ,1:  1  ,1:  4  ,1:  11  
HISPANIC,1: 0  ,1:  3  ,1:  0  ,1:  2  ,1:  2  ,1:  12  
DIABETES,1: 7  ,1:136  ,1:139  ,1:81  ,1:100  ,1:429  
CHF,1: 1  ,1: 34  ,1: 54  ,1: 44  ,1: 22  ,1:  58  
MAP_DECREASE_2,1: 6  ,1:241  ,1:151  ,1:90  ,1:131  ,1:579  
MAP_INCREASE_2,1: 7  ,1:119  ,1:105  ,1: 55  ,1:123  ,1:380  
SYSTOLIC_OR_DIASTOLIC_DECREASE_2,1:10  ,1:312  ,1:196  ,1:118  ,1:180  ,1:777  
X050.059.99,1: 1  ,1: 23  ,1: 18  ,1:  7  ,1:  9  ,1:  37  
X110.118.99,1: 5  ,1: 84  ,1: 55  ,1: 42  ,1: 44  ,1: 188  
X030.041.99,1: 1  ,1: 40  ,1: 45  ,1: 18  ,1: 31  ,1:  88  
X001.009.99,1: 0  ,1:  8  ,1: 11  ,1:  7  ,1:  9  ,1:  22  
X070.079.99,1: 0  ,1: 36  ,1: 21  ,1:  7  ,1: 20  ,1:  77  
X01.05.99,1: 1  ,1: 11  ,1: 13  ,1:  2  ,1:  8  ,1:  18  
X08.16.99,1: 0  ,1:  6  ,1:  7  ,1:  4  ,1:  7  ,1:   8  
X06.07.99,1: 0  ,1:  7  ,1:  0  ,1:  0  ,1:  3  ,1:   1  
X0,1: 0  ,1: 11  ,1: 10  ,1: 11  ,1:  8  ,1:  34  
X172.173.99,1: 0  ,1: 38  ,1: 33  ,1: 25  ,1: 36  ,1: 129  
X200.208.99,1: 0  ,1: 11  ,1: 14  ,1:  6  ,1: 17  ,1:  22  
X217.223.99,1: 0  ,1: 48  ,1:  3  ,1:  2  ,1:  3  ,1:  14  
X179.187.99,1: 1  ,1: 13  ,1: 21  ,1: 14  ,1: 25  ,1:  75  
X224.225.99,1: 0  ,1:  8  ,1:  1  ,1:  1  ,1:  6  ,1:  10  
X210.210.99,1: 0  ,1:  1  ,1:  0  ,1:  0  ,1:  2  ,1:   5  
X238.238.99,1: 4  ,1: 83  ,1: 58  ,1: 29  ,1: 66  ,1: 206  
X211.211.99,1: 5  ,1: 75  ,1: 53  ,1: 36  ,1: 49  ,1: 215  
X193.194.99,1: 0  ,1:  6  ,1:  2  ,1:  0  ,1:  4  ,1:   6  
X188.189.99,1: 1  ,1:  7  ,1: 13  ,1:  2  ,1:  8  ,1:  29  
X226.227.99,1: 0  ,1: 10  ,1:  5  ,1:  0  ,1:  2  ,1:   2  
X228.228.99,1: 0  ,1:  8  ,1:  3  ,1:  5  ,1: 14  ,1:  38  
X216.216.99,1: 0  ,1: 55  ,1: 29  ,1: 12  ,1: 29  ,1: 112  
X214.215.99,1: 2  ,1:  7  ,1:  7  ,1:  3  ,1:  4  ,1:  16  
X212.212.99,1: 0  ,1:  3  ,1:  1  ,1:  2  ,1:  3  ,1:   0  
X237.237.99,1: 0  ,1: 19  ,1:  0  ,1:  0  ,1:  0  ,1:   0  
X233.233.99,1: 1  ,1: 14  ,1:  4  ,1:  3  ,1:  6  ,1:   8  
X196.198.99,1: 1  ,1: 14  ,1:  7  ,1:  2  ,1: 10  ,1:  20  
X239.239.99,1: 0  ,1: 14  ,1: 13  ,1:  3  ,1:  8  ,1:  20  
X235.235.99,1: 0  ,1:  3  ,1:  4  ,1:  0  ,1:  4  ,1:   2  
X150.159.99,1: 0  ,1:  9  ,1:  7  ,1:  7  ,1:  8  ,1:  27  
X249.250.99,1: 7  ,1:166  ,1:147  ,1:90  ,1:121  ,1:493  
X272.272.99,1:18  ,1:349  ,1:258  ,1:160  ,1:267  ,1:1004  
X240.246.99,1: 6  ,1:164  ,1:100  ,1: 61  ,1: 89  ,1:272  
X278.278.99,1: 3  ,1:109  ,1: 60  ,1: 43  ,1: 50  ,1: 156  
X274.274.99,1: 2  ,1: 31  ,1: 39  ,1: 39  ,1: 31  ,1: 128  
X260.269.99,1:10  ,1:184  ,1: 94  ,1: 54  ,1: 96  ,1:301  
X276.276.99,1:9  ,1:129  ,1:121  ,1: 68  ,1: 66  ,1: 221  
X275.275.99,1: 1  ,1: 36  ,1: 23  ,1: 10  ,1: 13  ,1:  53  
X277.277.99,1: 0  ,1: 12  ,1:  7  ,1:  2  ,1:  5  ,1:  22  
X252.259.99,1: 1  ,1: 45  ,1: 40  ,1: 17  ,1: 40  ,1: 119  
X21.29.99,1: 0  ,1: 31  ,1: 27  ,1: 12  ,1: 20  ,1:  35  
X251.251.99,1: 0  ,1: 10  ,1: 11  ,1:  4  ,1:  6  ,1:  13  
X270.270.99,1: 0  ,1:  2  ,1:  1  ,1:  1  ,1:  1  ,1:   5  
X280.285.99,1:9  ,1:146  ,1:148  ,1:83  ,1:114  ,1:379  
X288.289.99,1: 3  ,1: 50  ,1: 42  ,1: 20  ,1: 50  ,1: 116  
X286.287.99,1: 1  ,1: 23  ,1: 35  ,1: 19  ,1: 24  ,1:  59  
X279.279.99,1: 0  ,1: 34  ,1: 21  ,1:  8  ,1: 17  ,1:  43  
X295.298.99,1: 8  ,1:153  ,1: 76  ,1: 33  ,1: 76  ,1: 206  
X316.316.99,1: 2  ,1: 50  ,1: 61  ,1: 24  ,1: 42  ,1: 141  
X300.315.99,1: 4  ,1:144  ,1: 62  ,1: 30  ,1: 80  ,1: 198  
X295.299.99,1: 2  ,1: 24  ,1: 16  ,1:  5  ,1: 12  ,1:  33  
X350.359.99,1:11  ,1:129  ,1: 92  ,1: 54  ,1: 72  ,1:270  
X338.338.9,1: 7  ,1: 80  ,1: 55  ,1: 22  ,1: 36  ,1:  95  
X330.337.99,1: 4  ,1: 47  ,1: 51  ,1: 20  ,1: 40  ,1:  93  
X339.339.99,1: 0  ,1:  6  ,1:  1  ,1:  2  ,1: 13  ,1:   4  
X327.327.9,1: 6  ,1:151  ,1: 94  ,1: 72  ,1:114  ,1:299  
X30.34.99,1: 0  ,1:  9  ,1:  8  ,1:  4  ,1:  7  ,1:  16  
X35.39.99,1: 2  ,1: 31  ,1: 44  ,1: 20  ,1: 18  ,1:  73  
X340.349.99,1: 0  ,1: 76  ,1: 47  ,1: 17  ,1: 58  ,1:  66  
X360.379.99,1: 7  ,1:247  ,1:180  ,1:102  ,1:184  ,1:562  
X380.389.99,1: 5  ,1:160  ,1: 81  ,1: 53  ,1:118  ,1:331  
X420.429.99,1:9  ,1:158  ,1:173  ,1:121  ,1:134  ,1:410  
X401.405.99,1:18  ,1:462  ,1:305  ,1:179  ,1:329  ,1:1205  
X410.414.99,1: 7  ,1:102  ,1:123  ,1:90  ,1:109  ,1:400  
X393.398.99,1: 0  ,1: 17  ,1: 25  ,1: 15  ,1:  8  ,1:  39  
X415.417.99,1: 0  ,1: 17  ,1: 21  ,1: 13  ,1:  8  ,1:  21  
X451.459.99,1:9  ,1:126  ,1:104  ,1: 58  ,1: 74  ,1: 220  
X430.438.99,1: 1  ,1: 79  ,1: 98  ,1: 27  ,1: 72  ,1: 168  
X440.449.99,1: 5  ,1: 78  ,1: 85  ,1: 45  ,1: 57  ,1: 197  
X42.54.99,1: 1  ,1: 26  ,1: 24  ,1: 17  ,1: 12  ,1:  42  
X40.41.99,1: 1  ,1:  7  ,1:  4  ,1:  2  ,1:  5  ,1:  13  
X470.478.99,1: 1  ,1:182  ,1: 84  ,1: 45  ,1:166  ,1:306  
X490.496.99,1: 3  ,1:103  ,1: 75  ,1: 38  ,1: 70  ,1: 199  
X510.519.99,1: 4  ,1:106  ,1:115  ,1: 59  ,1: 72  ,1: 194  
X460.466.99,1: 7  ,1:211  ,1:115  ,1: 77  ,1:175  ,1:473  
X480.488.99,1: 1  ,1: 60  ,1: 65  ,1: 28  ,1: 56  ,1: 129  
X500.508.99,1: 0  ,1:  2  ,1:  2  ,1:  3  ,1:  4  ,1:   4  
X530.538,1: 6  ,1:219  ,1:118  ,1: 77  ,1:154  ,1:412  
X560.569.99,1: 8  ,1:184  ,1:127  ,1: 75  ,1:122  ,1:370  
X550.553.99,1: 1  ,1: 57  ,1: 35  ,1: 18  ,1: 47  ,1: 110  
X555.558.99,1: 0  ,1: 28  ,1: 22  ,1: 13  ,1: 14  ,1:  53  
X577.579.99,1: 3  ,1: 48  ,1: 37  ,1: 26  ,1: 28  ,1: 102  
X520.529.99,1: 0  ,1: 58  ,1: 23  ,1: 21  ,1: 44  ,1:  77  
X55.59.99,1: 1  ,1: 16  ,1:  4  ,1:  3  ,1:  5  ,1:  19  
X574.575.99,1: 0  ,1: 18  ,1: 15  ,1:  8  ,1: 12  ,1:  34  
X570.573.99,1: 1  ,1: 44  ,1: 26  ,1: 22  ,1: 29  ,1:  81  
X614.616.99,1: 1  ,1: 61  ,1:  4  ,1:  2  ,1:  7  ,1:  14  
X617.629.99,1: 0  ,1:451  ,1:  0  ,1:  0  ,1:  0  ,1:   0  
X600.608.99,1: 2  ,1:  7  ,1: 66  ,1: 25  ,1: 74  ,1:260  
X590.599.99,1: 7  ,1:259  ,1:142  ,1: 64  ,1:112  ,1:368  
X580.589.99,1: 2  ,1: 73  ,1:121  ,1: 56  ,1: 53  ,1: 192  
X610.612.99,1: 2  ,1: 94  ,1: 20  ,1: 11  ,1: 19  ,1:  73  
X640.649.99,1: 0  ,1:  1  ,1:  1  ,1:  0  ,1:  0  ,1:   3  
X60.64.99,1: 1  ,1:  1  ,1:  4  ,1:  2  ,1:  7  ,1:  14  
X65.71.99,1: 0  ,1: 33  ,1:  0  ,1:  0  ,1:  0  ,1:   1  
X700.709.99,1: 8  ,1:215  ,1:127  ,1: 69  ,1:137  ,1:502  
X690.698.99,1: 4  ,1:138  ,1: 66  ,1: 39  ,1: 69  ,1:257  
X680.686.99,1: 4  ,1:103  ,1: 77  ,1: 32  ,1: 72  ,1: 204  
X710.719.99,1:15  ,1:343  ,1:216  ,1:123  ,1:229  ,1:815  
X725.729.99,1:14  ,1:355  ,1:203  ,1:120  ,1:225  ,1:713  
X720.724.99,1:11  ,1:266  ,1:176  ,1:95  ,1:187  ,1:594  
X730.739.99,1: 7  ,1:221  ,1:123  ,1: 51  ,1:115  ,1:397  
X740.759.99,1: 2  ,1: 48  ,1: 35  ,1: 18  ,1: 19  ,1:  95  
X76.84.99,1: 1  ,1: 66  ,1: 56  ,1: 23  ,1: 33  ,1: 117  
X010.018.99,1: 0  ,1:  0  ,1:  0  ,1:  0  ,1:  0  ,1:   2  
X130.136.99,1: 0  ,1:  9  ,1:  5  ,1:  1  ,1:  3  ,1:  11  
X174.175.99,1: 1  ,1: 38  ,1: 18  ,1:  8  ,1: 10  ,1:  40  
X140.149.99,1: 0  ,1:  1  ,1:  3  ,1:  2  ,1:  5  ,1:   2  
X195.195.99,1: 1  ,1:  3  ,1:  6  ,1:  2  ,1:  6  ,1:   5  
X160.165.99,1: 0  ,1:  5  ,1:  6  ,1:  4  ,1:  7  ,1:  10  
X17.17.99,1: 0  ,1:  3  ,1:  2  ,1:  2  ,1:  3  ,1:   9  
X229.229.99,1: 0  ,1:  3  ,1:  0  ,1:  0  ,1:  1  ,1:   0  
X290.294.99,1: 1  ,1: 30  ,1: 32  ,1:  5  ,1: 21  ,1:  50  
X320.326.9,1: 0  ,1:  3  ,1:  0  ,1:  0  ,1:  0  ,1:   4  
X540.543.99,1: 0  ,1:  3  ,1:  0  ,1:  0  ,1:  1  ,1:   4  
X232.232.99,1: 0  ,1:  1  ,1:  2  ,1:  1  ,1:  2  ,1:  10  
X210.229.99,1: 0  ,1:  4  ,1:  3  ,1:  0  ,1:  2  ,1:   6  
X273.273.99,1: 1  ,1:  6  ,1:  7  ,1:  2  ,1:  8  ,1:  18  
X650.659.99,1: 0  ,1:  1  ,1:  1  ,1:  0  ,1:  0  ,1:   3  
X090.099.99,1: 0  ,1:  5  ,1:  1  ,1:  1  ,1:  0  ,1:   1  
X576.576.99,1: 0  ,1:  6  ,1:  3  ,1:  2  ,1:  3  ,1:   2  
X789.789.99,1: 7  ,1:198  ,1:117  ,1: 60  ,1:124  ,1:334  
X780.780.99,1:12  ,1:342  ,1:215  ,1:108  ,1:209  ,1:634  
X786.786.99,1:12  ,1:320  ,1:218  ,1:131  ,1:251  ,1:720  
X783.783.99,1: 2  ,1: 62  ,1: 45  ,1: 20  ,1: 32  ,1:  86  
X790.790.99,1: 7  ,1:132  ,1:118  ,1: 79  ,1:106  ,1:383  
