,df_clust_summary,this_clust_summary,this_clust_summary.1,this_clust_summary.2
SYSTOLIC_DECREASE,1:882  ,1:218  ,1:111  ,1:124  
DIASTOLIC_DECREASE,1:918  ,1:243  ,1:120  ,1:126  
MAP_DECREASE,1:958  ,1:234  ,1:126  ,1:133  
SYSTOLIC_SIG_LOWER,1:  20  ,1:  1  ,1: 12  ,1: 14  
DIASTOLIC_SIG_LOWER,1:  27  ,1:  2  ,1: 18  ,1: 18  
MAP_SIG_LOWER,1:  27  ,1:  2  ,1: 18  ,1: 17  
SEX,1:892  ,1: 55  ,1: 79  ,1:109  
WHITE,1:1454  ,1:301  ,1:153  ,1:179  
BLACK,1: 218  ,1: 87  ,1: 50  ,1: 47  
ASIAN,1:  16  ,1:  3  ,1:  0  ,1:  0  
HISPANIC,1:  13  ,1:  1  ,1:  2  ,1:  3  
DIABETES,1: 569  ,1:126  ,1: 86  ,1:111  
CHF,1:  98  ,1:  5  ,1: 55  ,1: 55  
MAP_DECREASE_2,1:788  ,1:199  ,1:101  ,1:110  
MAP_INCREASE_2,1: 543  ,1:112  ,1: 61  ,1: 73  
SYSTOLIC_OR_DIASTOLIC_DECREASE_2,1:1052  ,1:261  ,1:135  ,1:145  
X050.059.99,1:  51  ,1: 21  ,1: 11  ,1: 12  
X110.118.99,1: 273  ,1: 57  ,1: 34  ,1: 54  
X030.041.99,1: 136  ,1: 25  ,1: 32  ,1: 30  
X001.009.99,1:  31  ,1:  7  ,1:  7  ,1: 12  
X070.079.99,1: 110  ,1: 23  ,1: 19  ,1:  9  
X01.05.99,1:  27  ,1: 13  ,1:  7  ,1:  6  
X08.16.99,1:  17  ,1:  6  ,1:  4  ,1:  5  
X06.07.99,1:   6  ,1:  3  ,1:  2  ,1:  0  
X0,1:  45  ,1:  5  ,1:  8  ,1: 16  
X172.173.99,1: 182  ,1: 28  ,1: 22  ,1: 29  
X200.208.99,1:  46  ,1:  9  ,1:  8  ,1:  7  
X217.223.99,1:  25  ,1: 38  ,1:  3  ,1:  4  
X179.187.99,1: 106  ,1: 14  ,1: 10  ,1: 19  
X224.225.99,1:  20  ,1:  4  ,1:  1  ,1:  1  
X210.210.99,1:   7  ,1:  1  ,1:  0  ,1:  0  
X238.238.99,1: 309  ,1: 66  ,1: 38  ,1: 33  
X211.211.99,1: 295  ,1: 60  ,1: 37  ,1: 41  
X193.194.99,1:  10  ,1:  7  ,1:  1  ,1:  0  
X188.189.99,1:  41  ,1:  5  ,1:  4  ,1: 10  
X226.227.99,1:   8  ,1:  6  ,1:  3  ,1:  2  
X228.228.99,1:  56  ,1:  6  ,1:  2  ,1:  4  
X216.216.99,1: 157  ,1: 43  ,1: 24  ,1: 13  
X214.215.99,1:  23  ,1:  7  ,1:  4  ,1:  5  
X212.212.99,1:   5  ,1:  0  ,1:  2  ,1:  2  
X237.237.99,1:  11  ,1:  5  ,1:  1  ,1:  2  
X233.233.99,1:  17  ,1: 12  ,1:  4  ,1:  3  
X196.198.99,1:  37  ,1:  9  ,1:  2  ,1:  6  
X239.239.99,1:  34  ,1: 11  ,1:  5  ,1:  8  
