,df_clust_summary,this_clust_summary,this_clust_summary.1,this_clust_summary.2
SYSTOLIC_DECREASE,882,218,111,124
DIASTOLIC_DECREASE,918,243,120,126
MAP_DECREASE,958,234,126,133
SYSTOLIC_SIG_LOWER,20,1,12,14
DIASTOLIC_SIG_LOWER,27,2,18,18
MAP_SIG_LOWER,27,2,18,17
SEX,892,55,79,109
WHITE,1454,301,153,179
BLACK,218,87,50,47
ASIAN,16,3,0,0
HISPANIC,13,1,2,3
DIABETES,569,126,86,111
CHF,98,5,55,55
MAP_DECREASE_2,788,199,101,110
MAP_INCREASE_2,543,112,61,73
SYSTOLIC_OR_DIASTOLIC_DECREASE_2,1052,261,135,145
X050.059.99,51,21,11,12
X110.118.99,273,57,34,54
X030.041.99,136,25,32,30
X001.009.99,31,7,7,12
X070.079.99,110,23,19,9
X01.05.99,27,13,7,6
X08.16.99,17,6,4,5
X06.07.99,6,3,2,0
X0,45,5,8,16
X172.173.99,182,28,22,29
X200.208.99,46,9,8,7
X217.223.99,25,38,3,4
X179.187.99,106,14,10,19
X224.225.99,20,4,1,1
X210.210.99,7,1,0,0
X238.238.99,309,66,38,33
X211.211.99,295,60,37,41
X193.194.99,10,7,1,0
X188.189.99,41,5,4,10
X226.227.99,8,6,3,2
X228.228.99,56,6,2,4
X216.216.99,157,43,24,13
X214.215.99,23,7,4,5
X212.212.99,5,0,2,2
X237.237.99,11,5,1,2
X233.233.99,17,12,4,3
X196.198.99,37,9,2,6
X239.239.99,34,11,5,8
X235.235.99,6,2,2,3
X150.159.99,38,7,4,9
X249.250.99,666,141,97,120
X272.272.99,1390,288,180,198
X240.246.99,417,128,62,85
X278.278.99,246,77,39,59
X274.274.99,173,19,28,50
X260.269.99,456,139,70,74
X276.276.99,343,75,95,101
X275.275.99,81,18,23,14
X277.277.99,30,7,4,7
X252.259.99,177,32,32,21
X21.29.99,70,14,20,21
X251.251.99,7,8,0,29
X270.270.99,6,1,1,2
X280.285.99,551,100,111,117
X288.289.99,193,27,29,32
X286.287.99,99,14,24,24
X279.279.99,75,19,13,16
X295.298.99,332,122,47,51
X316.316.99,199,41,43,37
X300.315.99,317,114,53,34
X295.299.99,51,19,9,13
X350.359.99,400,92,67,69
X338.338.9,164,54,43,34
X330.337.99,153,35,27,40
X339.339.99,18,5,1,2
X327.327.9,466,112,67,91
X30.34.99,27,2,8,7
X35.39.99,107,7,39,35
X340.349.99,157,47,29,31
X360.379.99,837,199,115,131
X380.389.99,516,121,52,59
X420.429.99,669,0,171,165
X401.405.99,1679,388,204,227
X410.414.99,552,56,102,121
X393.398.99,60,1,23,20
X415.417.99,37,2,17,24
X451.459.99,357,80,77,77
X430.438.99,263,53,66,63
X440.449.99,289,47,66,65
X42.54.99,69,19,13,21
X40.41.99,20,6,1,5
X470.478.99,524,142,62,56
X490.496.99,300,75,58,55
X510.519.99,317,59,85,89
X460.466.99,710,179,75,94
X480.488.99,214,39,46,40
X500.508.99,11,1,1,2
X530.538,639,160,87,100
X560.569.99,559,149,88,90
X550.553.99,173,41,27,27
X555.558.99,78,23,14,15
X577.579.99,157,38,21,28
X520.529.99,133,46,16,28
X55.59.99,30,12,3,3
X574.575.99,54,13,8,12
X570.573.99,132,27,18,26
X614.616.99,38,40,9,2
X617.629.99,104,274,70,3
X600.608.99,342,24,31,37
X590.599.99,574,180,105,93
X580.589.99,272,51,86,88
X610.612.99,116,63,24,16
X640.649.99,3,2,0,0
X60.64.99,23,1,3,2
X65.71.99,5,26,2,1
X700.709.99,712,162,90,94
X690.698.99,377,95,54,47
X680.686.99,315,72,55,50
X710.719.99,1146,277,152,166
X725.729.99,1051,273,144,162
X720.724.99,877,205,123,124
X730.739.99,586,160,93,75
X740.759.99,138,29,23,27
X76.84.99,178,37,43,38
X010.018.99,2,0,0,0
X130.136.99,15,9,3,2
X174.175.99,64,28,11,12
X140.149.99,8,2,0,3
X195.195.99,16,2,1,4
X160.165.99,19,3,1,9
X17.17.99,12,4,1,2
X229.229.99,1,2,1,0
X290.294.99,82,20,20,17
X320.326.9,5,1,1,0
X540.543.99,6,2,0,0
X232.232.99,12,2,1,1
X210.229.99,10,3,1,1
X273.273.99,30,3,4,5
X650.659.99,3,2,0,0
X090.099.99,4,1,2,1
X576.576.99,9,4,3,0
X789.789.99,522,149,85,84
X780.780.99,955,257,153,155
X786.786.99,1082,244,158,168
X783.783.99,138,47,26,36
X790.790.99,544,99,82,100
X785.785.99,397,68,58,65
X793.793.99,155,67,31,23
X787.787.99,461,121,78,84
X782.782.99,587,140,117,114
X788.788.99,485,162,92,73
X794.794.99,211,59,42,41
X781.781.99,149,31,32,35
X764.779.99,5,2,1,4
X784.784.99,404,113,20,58
X796.796.99,66,27,7,7
X170.171.99,13,1,0,1
X660.669.99,2,0,0,0
X634.639.99,0,1,0,0
X72.75.99,0,2,0,0
X760.763.99,3,0,0,0
X791.791.99,95,37,24,12
X780.1.780.99,103,20,18,12
X795.795.99,43,27,4,3
X230.230.99,2,0,0,0
X236.236.99,7,1,1,0
X271.271.99,4,3,1,1
X080.088.99,3,0,0,0
X630.633.99,NA,NA,NA,NA
X060.066.99,3,0,0,0
X120.129.99,0,1,0,0
X18.20.99,3,0,1,1
X390.392.99,2,0,0,0
X100.104.99,1,0,0,0
X045.049.99,2,0,0,1
X190.192.99,8,2,1,0
X176.176.99,1,1,0,1
X830.839.99,69,14,5,6
X870.897.99,109,38,18,26
X840.848.99,208,56,29,32
X797.799.99,83,19,27,33
X85.86.99,37,17,19,11
X87.99.99,189,30,56,54
X800.829.99,194,46,46,32
X996.999.99,147,46,36,38
X958.959.99,299,77,44,51
X990.995.99,129,32,40,28
X950.957.99,12,6,5,1
X905.909.99,18,6,9,6
X980.989.99,15,4,1,2
X910.919.99,111,22,8,20
X920.929.99,110,31,22,25
X940.949.99,7,5,2,4
RANGE.NA,1319,309,186,199
X020.027.99,0,0,0,0
X792.792.99,24,2,1,5
X850.854.99,12,2,3,3
X930.939.99,15,7,4,4
X860.869.99,7,3,1,2
X670.677.99,1,4,0,0
X231.231.99,0,0,0,1
X137.139.99,1,0,0,0
X209.209.99,2,1,1,1
X042.042.99,2,0,0,0
X960.979.99,9,6,4,2
X290.319.99,2,5,4,0
X900.904.99,4,0,1,0
X797.797.99,0,1,1,1
NON.DIHYDRO..CCBS,231,52,52,38
DIURETICS,1048,257,181,189
ACEI.ARB,1398,313,182,207
CENTRAL.ALPHA.AGONISTS,0,152,184,68
MINOXIDIL,5,1,9,9
ALPHA.ANTAGONISTS,82,13,24,16
BETA.BLOCKERS,837,176,170,175
ALDOSTERONE.ANTAGONISTS,53,2,88,172
THIAZIDE.ACEI_ARB,75,21,7,5
DIHYDRO.CCBS,670,193,125,126
DIURETIC.COMBINATION,112,41,23,16
THIAZIDE.BB,1,1,0,0
HYDRALAZINE,1,0,2,0
  cluster_id,1st Qu.:1  ,1st Qu.:2  ,1st Qu.:3  ,1st Qu.:4  
