SYSTOLIC_CHANGE,DIASTOLIC_CHANGE,MAP_CHANGE,AGE,BMI,change_BMI,EGFR,change_EGFR,SYSTOLIC_BEFORE,SYSTOLIC_AFTER,DIASTOLIC_BEFORE,DIASTOLIC_AFTER,MAP_BEFORE,MAP_AFTER
-5.75,-3.875,-4.375,64.59794521,25.1478204,-1.496366435,61.22958229,-11.21807865,125.25,126,65.25,69.625,86.29166667,87.75
7.5,4,4.791666667,74.13287671,33.67055496,0.706317597,85.08595339,-0.196669448,135.5,133.875,79.625,76.875,98.625,95.58333333
-8,-6,-6,54.70616438,26.53950124,-1.251464925,66.74702102,-9.850185899,124,124,69,66,88.66666667,86.66666667
4.875,2,2,73.85136986,36.73809513,0.807579777,95.128737,3.360536823,140,137,81,80,99,97.58333333
-9,-6.375,-7,63.55958904,26.6944775,-1.453057584,54.17292975,-9.841366746,128,128,68,67,89.33333333,88.54166667
6.75,3,4.458333333,79.18835616,34.87674353,1.003950107,84.07421497,2.129914455,146,144,80,79.875,100.2916667,99.33333333
-7,-6,-6.083333333,61.70616438,28.05732651,-1.395621522,61.02271598,-12.43878771,120,118,65,64,85.33333333,82.91666667
5.25,2.5,3,76.84863014,36.18323343,0.749342576,88.79592527,2.185584623,138,135.25,78,77.125,96.66666667,95
-6,-4.5,-4.791666667,57.77808219,26.91335258,-1.105029547,67.16844385,-8.859991208,123.5,124,70,69,89.33333333,88.33333333
6.375,4,4.291666667,74.5890411,35.12128943,0.795227874,94.63992794,4.688120333,137,137.5,80,80,98,98
-8,-6,-6,60.65205479,26.4610662,-1.102475722,64.98395379,-9.798683333,124,122,69,67,88,86.66666667
5,3,3,77.15068493,34.7742544,0.785607307,92.64661,3.159202889,138,136.5,80,78,98,96.66666667
